ksh_code,line_code,osm_id,osm_name,distance_m
08518,300b,,Sopron,2.7
08518,8,,Sopron,1.8
08527,84,,Sirok,3.5
08545,71,,Őrbottyán,6.9
08581,30,,Baracska,1.9
08590,35,,Tab,4.4
08679,153,,Öregcsertő,0.0
08688,4,,Süttő,2.2
08712,81,,Jobbágyi,9.0
08721,11,,Győrasszonyfa,0.0
08749,20,,Karakószörcsök,11.3
08758,4,,Tát,1.2
08776,100,,Ajak,1.8
08864,154,,Bátaszék,12.3
08864,46,,Bátaszék,2.0
08864,50,,Bátaszék,7.0
08864,64,,Bátaszék,17.4
08891,1,,Biatorbágy,2.1
08925,42,,Adony,7.5
08952,115,,Tiborszállás,2.2
08961,46,,Őcsény,4.0
08989,105,,Vámospércs,0.0
09007,50,,Szalatnak,2.3
09034,75,,Berkenye,5.0
09052,84,,Tarnaszentmária,4.9
09098,41,,Kaposfő,3.0
09113,117,,Tiszaeszlár,2.7
09122,120a,,Farmos,2.0
09131,80,,Bag,1.7
09168,60,,Belezna,4.0
09210,130,,Földeák,7.4
09247,142,,Dabas,5.4
09265,100,,Kisvárda,2.7
09344,150,,Kiskőrös,2.5
09353,111,,Aranyosapáti,0.0
09469,154,,Jánoshalma,5.8
09496,92,,Szirmabesenyő,3.3
09511,147,,Gádoros,2.2
09584,150,,Dunaharaszti,1.8
09593,80,,Tura,2.1
09627,120,,Tiszatenyő,9.6
09627,130,,Tiszatenyő,4.9
09645,30,,Vörs,3.8
09821,100,,Pilis,15.2
09849,142,,Hernád,0.9
09894,75,,Borsosberény,2.5
09900,42,,Rácalmás,14.5
09919,100,,Tuzsér,2.7
09919,400,,Tuzsér,50.2
09964,84,,Tófalu,4.5
09973,150,,Délegyháza,11.8
10092,29,,Örvényes,5.0
10117,111,,Újkenéz,0.0
10126,114,,Győrtelek,1.2
10135,64,,Palotabozsok,0.0
10162,100,,Püspökladány,6.4
10162,101,,Püspökladány,6.4
10296,30,,Gárdony,2.9
10348,30,,Zalakomár,3.4
10393,100,,Hajdúhadház,0.0
10418,372,,Nagyút,13.3
10418,80,,Nagyút,1.6
10481,1,,Bicske,23.4
10490,2,,Dorog,6.5
10551,100,,Monor,4.7
10588,16,,Beled,3.7
10612,94,,Komjáti,2.5
10630,25,,Őriszentpéter,6.7
10667,140,,Városföld,4.8
10719,154,,Bácsalmás,19.2
10719,392,,Bácsalmás,24.1
10728,94,,Edelény,2.4
10746,65,,Kistótfalu,2.6
10816,150,,Kiskunlacháza,5.0
10922,120a,,Maglód,6.7
11013,80,,Szihalom,1.5
11022,98,,Zsujta,11.1
11031,40,,Tolnanémedi,9.1
11174,37,,Kéthely,0.0
11253,8,,Fertőboz,6.1
11262,8,,Kóny,4.2
11332,92,,Sajónémeti,3.5
11341,100,,Cegléd,2.0
11341,140,,Cegléd,15.2
11402,47,,Mecsekpölöske,7.1
11439,20,,Várpalota,1.2
11439,20L,,Várpalota,3.6
11509,41,,Szenta,0.7
11509,41,,Szenta,18.3
11563,154,,Alsónyék,1.9
11679,25,,Jánosháza,13.0
11697,90,,Hidasnémeti,6.6
11697,98,,Hidasnémeti,74.6
11767,11,,Veszprém,181.9
11767,20,,Veszprém,19.4
11776,20,,Sárszentmihály,1.4
11794,149,,Szank,11.3
11873,121,,Mezőhegyes,7.2
11873,125,,Mezőhegyes,2.6
11882,1,,Abda,1.9
11934,2,,Üröm,2.8
11943,18,,Gyöngyösfalu,2.6
11989,120,,Murony,2.3
11989,129,,Murony,119.7
11998,40,,Csibrák,4.8
12007,140,,Szatymaz,5.6
12177,125,,Kardoskút,2.4
12186,100,,Pátroha,2.9
12210,98,,Tállya,2.2
12238,26,,Balatonederics,2.1
12256,128,,Füzesgyarmat,2.8
12265,135,,Székkutas,7.9
12274,116,,Nyírmada,2.6
12344,150,,Csengőd,9.6
12441,102,,Abádszalók,1.8
12469,98,,Rátka,2.5
12511,75,,Dejtár,7.1
12548,40,,Abaliget,1.1
12575,23,,Lenti,1.5
12609,25,,Türje,10.3
12672,111,,Kisvarsány,3.3
12681,135,,Telekgerendás,4.8
12779,121,,Nagylak,4.5
12788,101,,Berettyóújfalu,10.0
12803,109,,Hajdúdorog,2.4
12876,35,,Somogymeggyes,10.7
12885,80,,Nyékládháza,11.0
12894,100,,Üllő,3.9
12919,26,,Vonyarcvashegy,2.6
12955,11,,Nyúl,9.3
13019,110,,Hodász,3.7
13134,98,,Golop,4.6
13152,46,,Cece,6.7
13161,136,,Röszke,17.8
13170,146,,Csépa,2.1
13259,40,,Szabadegyháza,3.4
13295,78,,Galgagyörk,10.1
13310,40,,Bicsérd,5.5
13408,152,,Ballószög,6.8
13426,20,,Kemenesmihályfa,9.4
13435,120a,,Nagykáta,5.9
13462,40,,Iváncsa,1.7
13480,71,,Erdőkertes,2.7
13532,21,,Körmend,0.3
13532,22,,Körmend,4.6
13550,100c,,Nyírtelek,1.2
13596,371,,Bükkábrány,7.7
13657,75,,Balassagyarmat,65.9
13657,78,,Balassagyarmat,15.6
13781,41,,Kiskorpád,0.2
13815,130,,Tiszaföldvár,2.3
13824,35,,Somodor,4.0
13833,88,,Mezőcsát,7.3
13921,23,,Iklódbördőce,1.5
13930,41,,Porrogszentkirály,2.0
13949,80,,Hévízgyörk,1.6
13985,35,,Felsőmocsolád,5.6
13994,41,,Bolhás,3.2
14012,60,,Őrtilos,2.7
14021,18,,Lukácsháza,3.2
14030,50,,Nagymányok,3.0
14058,150,,Fülöpszállás,10.0
14058,152,,Fülöpszállás,25.9
14094,146,,Tiszaug,1.6
14146,120a,,Tápiószele,3.7
14155,268,,Tokod,2.0
14155,4,,Tokod,2.7
14252,121,,Apátfalva,0.7
14313,92,,Sajókaza,3.5
14340,2,,Pilisvörösvár,2.8
14401,80,,Bodrogolaszi,3.5
14456,130,,Szentes,9.3
14456,147,,Szentes,10.3
14474,98,,Boldogkőváralja,2.2
14492,92,,Ózd,2.4
14526,102,,Heves,1.8
14562,30,,Balatonmáriafürdő,6.3
14571,120a,,Tápiószentmárton,2.2
14580,80,,Vámosgyörk,4.4
14580,86,,Vámosgyörk,105.5
14614,100,,Ebes,7.9
14623,60,,Zákány,4.0
14632,30,,Fonyód,0.8
14632,36,,Fonyód,16.6
14650,65,,Nagynyárád,0.7
14687,8,,Pinnye,4.2
14739,100c,,Rakamaz,3.1
14827,20,,Székesfehérvár,6.0
14827,30,,Székesfehérvár,4.9
14827,44,,Székesfehérvár,72.7
14827,6,,Székesfehérvár,29.2
14836,120a,,Zagyvarékas,1.5
14845,110,,Nyírbátor,7.2
14872,84,,Mátraderecske,3.9
14960,70,,Zebegény,1.5
14979,30,,Nagyrécse,1.6
15033,8,,Enese,0.7
15097,23,,Baktüttös,3.5
15130,100,,Debrecen,2.1
15130,105,,Debrecen,39.3
15130,106,,Debrecen,62.8
15130,108,,Debrecen,7.6
15200,120,,Békéscsaba,0.2
15200,135,,Békéscsaba,13.0
15246,82,,Pusztamonostor,6.1
15255,4,,Lábatlan,7.1
15291,120a,,Újszász,0.5
15291,82,,Újszász,56.5
15307,84,,Kápolna,5.0
15334,16,,Vasegerszeg,3.4
15343,8,,Fertőszentmiklós,9.8
15343,9,,Fertőszentmiklós,19.2
15352,4,,Nyergesújfalu,11.5
15361,20,,Hajmáskér,8.7
15361,27,,Hajmáskér,24.8
15422,8,,Rábatamási,3.1
15431,140,,Petőfiszállás,0.0
15459,40,,Regöly,2.2
15501,16,,Bősárkány,2.8
15565,29,,Balatonudvari,4.0
15653,10,,Győrszemere,4.6
15671,16,,Pósfa,2.8
15714,8,,Szárföld,4.7
15732,41,,Kaposújlak,2.8
15741,108,,Egyek,2.4
15796,80,,Ludas,2.3
15866,40,,Szentlőrinc,2.4
15866,60,,Szentlőrinc,16.2
15936,98,,Gönc,4.7
16018,154,,Mélykút,3.0
16054,92,,Sajószentpéter,1.9
16072,27,,Csajág,25.7
16072,29,,Csajág,7.7
16106,37,,Mesztegnyő,0.0
16142,10,,Külsővat,0.0
16160,102,,Tarnaszentmiklós,2.5
16188,77,,Aszód,10.7
16188,80,,Aszód,5.0
16197,125,,Ambrózfalva,3.5
16203,100,,Záhony,11.2
16203,111,,Záhony,11.9
16203,400,,Záhony,163.8
16434,125,,Tótkomlós,2.1
16470,37,,Balatonújlak,0.0
16753,94,,Szalonna,2.3
16799,94,,Borsodszirák,0.7
16832,18,,Kőszeg,2.2
16878,78,,Hugyag,7.1
16957,111,,Tornyospálca,0.0
17002,26,,Balatongyörök,1.8
17020,25,,Bajánsenye,2.8
17127,41,,Beleg,7.4
17145,102,,Kenderes,5.6
