osm_id,osm_name,normalized_name,reason,candidate_ksh_code,candidate_line_code
n8371157152,Biri,Biri,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n6503462456,Blaha Lujza tér,Blaha Lujza tér,NO_UNIQUE_KSH_NAME,,
n1065130536,Bogárzó,Bogárzó,NO_UNIQUE_KSH_NAME,,
n1437481397,Bojsza,Bojsza,NO_UNIQUE_KSH_NAME,,
n4039134492,Boros-Pincehely,Boros-Pincehely,NO_UNIQUE_KSH_NAME,,
n1065129463,Borsihalom,Borsihalom,NO_UNIQUE_KSH_NAME,,
n6974099855,Boráros tér,Boráros tér,NO_UNIQUE_KSH_NAME,,
n2508607839,Bucsuta,Bucsuta,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n1065130015,Budafa,Budafa,NO_UNIQUE_KSH_NAME,,
n6854258701,Budafok,Budafok,NO_UNIQUE_KSH_NAME,,
n8518689663,Budai út,Budai út,NO_UNIQUE_KSH_NAME,,
n6349837552,Budakalász,Budakalász,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n6349841373,"Budakalász, Lenfonó","Budakalász, Lenfonó",NO_UNIQUE_KSH_NAME,,
n748766808,Budapest-Déli,Budapest-Déli,NO_UNIQUE_KSH_NAME,,
n2894347408,Budapest-Kelenföld,Budapest-Kelenföld,NO_UNIQUE_KSH_NAME,,
n3141893115,Budapest-Keleti,Budapest-Keleti,NO_UNIQUE_KSH_NAME,,
n3010560233,Budapest-Nyugati,Budapest-Nyugati,NO_UNIQUE_KSH_NAME,,
n8530053325,Budatétény,Budatétény,NO_UNIQUE_KSH_NAME,,
n3260071767,Bugac felső,Bugac felső,NO_UNIQUE_KSH_NAME,,
n9849963680,Bácsbokod-Bácsborsód,Bácsbokod-Bácsborsód,NO_UNIQUE_KSH_NAME,,
n10223953766,Bánhalma-Halastó,Bánhalma-Halastó,NO_UNIQUE_KSH_NAME,,
n8440432930,Bánhida,Bánhida,NO_UNIQUE_KSH_NAME,,
n1065130540,Bánkút,Bánkút,NO_UNIQUE_KSH_NAME,,
n2508607840,Bánkürtös,Bánkürtös,NO_UNIQUE_KSH_NAME,,
n2507415857,Bánokszentgyörgy,Bánokszentgyörgy,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n1212434948,Bánrévei Vízmű,Bánrévei Vízmű,NO_UNIQUE_KSH_NAME,,
n1085387128,Bázakerettye alsó,Bázakerettye alsó,NO_UNIQUE_KSH_NAME,,
n1085371009,Bázakerettye felső,Bázakerettye felső,NO_UNIQUE_KSH_NAME,,
n6345447451,Békásmegyer,Békásmegyer,NO_UNIQUE_KSH_NAME,,
n1066556313,Bélapátfalvai Cementgyár,Bélapátfalvai Cementgyár,NO_UNIQUE_KSH_NAME,,
n10224100946,Bélatelep,Bélatelep,NO_UNIQUE_KSH_NAME,,
n9322082555,Börgönd,Börgönd,NO_UNIQUE_KSH_NAME,,
n122418061,Börzsönyliget,Börzsönyliget,NO_UNIQUE_KSH_NAME,,
n4768462881,Búcsúszentlászló,Búcsúszentlászló,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n1437544377,"Búsvári-tó, Kilátó v.m.","Búsvári-tó, Kilátó v.m.",NO_UNIQUE_KSH_NAME,,
n1065130805,Büdöskútpuszta,Büdöskútpuszta,NO_UNIQUE_KSH_NAME,,
n1065130090,Ceglédbercel-Cserő,Ceglédbercel-Cserő,NO_UNIQUE_KSH_NAME,,
n1065130718,Ceglédi szállások,Ceglédi szállások,NO_UNIQUE_KSH_NAME,,
n3629949217,Center,Center,NO_UNIQUE_KSH_NAME,,
n268215869,Center alsó,Center alsó,NO_UNIQUE_KSH_NAME,,
n6607085804,Cinkota,Cinkota,NO_UNIQUE_KSH_NAME,,
n6607085805,Cinkota alsó,Cinkota alsó,NO_UNIQUE_KSH_NAME,,
n280179036,Clark Ádám tér,Clark Ádám tér,NO_UNIQUE_KSH_NAME,,
n5217774773,Corvin-negyed,Corvin-negyed,NO_UNIQUE_KSH_NAME,,
n1065130954,Csabacsűd felső,Csabacsűd felső,NO_UNIQUE_KSH_NAME,,
n9480407140,Csajág felső,Csajág felső,NO_UNIQUE_KSH_NAME,,
n1670321158,Csanyik,Csanyik,NO_UNIQUE_KSH_NAME,,
n10143234156,Csarnapuszta,Csarnapuszta,NO_UNIQUE_KSH_NAME,,
n6681338676,Csepel,Csepel,NO_UNIQUE_KSH_NAME,,
n347610445,Cserdi-Helesfa,Cserdi-Helesfa,NO_UNIQUE_KSH_NAME,,
n1326504309,Csereerdő,Csereerdő,NO_UNIQUE_KSH_NAME,,
n1796135491,Cserkő,Cserkő,NO_UNIQUE_KSH_NAME,,
n6349834608,Csillaghegy,Csillaghegy,NO_UNIQUE_KSH_NAME,,
n6354697900,Csillebérc,Csillebérc,NO_UNIQUE_KSH_NAME,,
n1065130099,Csisztafürdő,Csisztafürdő,NO_UNIQUE_KSH_NAME,,
n77881793,Csittényhegy,Csittényhegy,NO_UNIQUE_KSH_NAME,,
n1065129623,Csoma-Szabadi,Csoma-Szabadi,NO_UNIQUE_KSH_NAME,,
n1065130763,Csongrád alsó,Csongrád alsó,NO_UNIQUE_KSH_NAME,,
n1065130255,Csongrádi úti tanyák,Csongrádi úti tanyák,NO_UNIQUE_KSH_NAME,,
n1065130158,Csorvás alsó,Csorvás alsó,NO_UNIQUE_KSH_NAME,,
n5599736000,Csugar,Csugar,NO_UNIQUE_KSH_NAME,,
n4188974134,Császárszállás,Császárszállás,NO_UNIQUE_KSH_NAME,,
n1085346050,Csömödér ÁEV,Csömödér ÁEV,NO_UNIQUE_KSH_NAME,,
n1065130559,Csömödér-Páka,Csömödér-Páka,NO_UNIQUE_KSH_NAME,,
n2508607841,Csömödéri-tó,Csömödéri-tó,NO_UNIQUE_KSH_NAME,,
n6607085807,Csömör,Csömör,NO_REFERENCED_LINE_WITHIN_LIMIT,,
n95043933,Daránypuszta,Daránypuszta,NO_UNIQUE_KSH_NAME,,
n1065130681,Debrecen-Csapókert,Debrecen-Csapókert,NO_UNIQUE_KSH_NAME,,
n1326450321,Debrecen-Fatelep,Debrecen-Fatelep,NO_UNIQUE_KSH_NAME,,
n497138779,Debrecen-Szabadságtelep,Debrecen-Szabadságtelep,NO_UNIQUE_KSH_NAME,,
n13877118064,Derecske,Derecske,NO_REFERENCED_LINE_WITHIN_LIMIT,,
