ksh_code,settlement_name,county_name,line_code,line_name,service_area,service_area_id,status,reason
07269,Lepsény,Fejér,27,27. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
07339,Aszófő,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
07490,Tószeg,Jász-Nagykun-Szolnok,145,145. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
07597,Tiszavasvári,Szabolcs-Szatmár-Bereg,109,109. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
07612,Dunavecse,Bács-Kiskun,151,151. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
07904,Nyírcsaholy,Szabolcs-Szatmár-Bereg,115,115. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
08156,Drégelypalánk,Nógrád,75,75. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
08350,Harkakötöny,Bács-Kiskun,155,155. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
08378,Jászszentlászló,Bács-Kiskun,155,155. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
08420,Napkor,Szabolcs-Szatmár-Bereg,116,116. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
08679,Öregcsertő,Bács-Kiskun,153,153. számú vasútvonal,Szeged,db15dd1e-0d51-4e3b-853e-c75a9aca227e,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
08864,Bátaszék,Tolna,64,64. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
08952,Tiborszállás,Szabolcs-Szatmár-Bereg,115,115. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
08989,Vámospércs,Hajdú-Bihar,105,105. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
09034,Berkenye,Nógrád,75,75. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
09113,Tiszaeszlár,Szabolcs-Szatmár-Bereg,117,117. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
09894,Borsosberény,Nógrád,75,75. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
10092,Örvényes,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
10126,Győrtelek,Szabolcs-Szatmár-Bereg,114,114. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
10135,Palotabozsok,Baranya,64,64. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
11402,Mecsekpölöske,Baranya,47,47. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
11943,Gyöngyösfalu,Vas,18,18. számú vasútvonal,Szombathely,4c3ae602-3a75-4f0c-bdf7-d6e15bed6d1b,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
12274,Nyírmada,Szabolcs-Szatmár-Bereg,116,116. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
12511,Dejtár,Nógrád,75,75. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
12803,Hajdúdorog,Hajdú-Bihar,109,109. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
13019,Hodász,Szabolcs-Szatmár-Bereg,110,110. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
13532,Körmend,Vas,22,22. számú vasútvonal,Szombathely,4c3ae602-3a75-4f0c-bdf7-d6e15bed6d1b,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
13657,Balassagyarmat,Nógrád,75,75. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
14021,Lukácsháza,Vas,18,18. számú vasútvonal,Szombathely,4c3ae602-3a75-4f0c-bdf7-d6e15bed6d1b,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
14827,Székesfehérvár,Fejér,44,44. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
14827,Székesfehérvár,Fejér,6,6. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
14845,Nyírbátor,Szabolcs-Szatmár-Bereg,110,110. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
15130,Debrecen,Hajdú-Bihar,105,105. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
15130,Debrecen,Hajdú-Bihar,106,106. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
15246,Pusztamonostor,Jász-Nagykun-Szolnok,82,82. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
15291,Újszász,Jász-Nagykun-Szolnok,82,82. számú vasútvonal,Debrecen,6b1aa304-c5fc-46e0-865f-4bc589cd0138,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
15361,Hajmáskér,Veszprém,27,27. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
15565,Balatonudvari,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
16072,Csajág,Veszprém,27,27. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
16072,Csajág,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
16832,Kőszeg,Vas,18,18. számú vasútvonal,Szombathely,4c3ae602-3a75-4f0c-bdf7-d6e15bed6d1b,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
17154,Balatonszepezd,Veszprém,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
17330,Kisbér,Komárom-Esztergom,13,13. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
17419,Drávafok,Baranya,62,62. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
17525,Polgárdi,Fejér,29,29. számú vasútvonal,Székesfehérvár,e3b62884-d1fb-4892-8e08-87bb816be339,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
17534,Gyöngyöshalász,Heves,85,85. számú vasútvonal,Miskolc,8b519923-a683-4c0a-a522-f85192a22109,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
17941,Nagyatád,Somogy,38,38. számú vasútvonal,Pécs,5646c308-d1f3-4649-ac89-43812ae4c35c,ASSIGNED_GEOGRAPHIC,COUNTY_RULE
