line_code,assessment,area_codes
40E,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-FEJER|ORSZEM-PEST
41,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-SOMOGY|ORSZEM-TOLNA
42,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-FEJER|ORSZEM-TOLNA
43,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-FEJER
44,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-FEJER
46,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-FEJER|ORSZEM-TOLNA
47,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BARANYA
5,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-FEJER|ORSZEM-KOMAROM-ESZTERGOM
50,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BARANYA|ORSZEM-TOLNA
5b,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-FEJER
6,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-FEJER
60,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BARANYA|ORSZEM-SOMOGY|ORSZEM-ZALA
61,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BARANYA
62,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BARANYA
64,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BARANYA|ORSZEM-TOLNA
65,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BARANYA
66,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-BARANYA
70,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-PEST
70AX,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-PEST
71,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-PEST
74,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-NOGRAD
75,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-NOGRAD|ORSZEM-PEST
76,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-NOGRAD
77,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-PEST
78,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-NOGRAD|ORSZEM-PEST
8,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-GYOR-MOSON-SOPRON
80,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-BORSOD-ABAUJ-ZEMPLEN|ORSZEM-HEVES|ORSZEM-PEST
81,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-HEVES|ORSZEM-NOGRAD
81M,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-NOGRAD
82,PARTIAL_COVERAGE_NO_WHOLE_LINE_ASSIGNMENT,ORSZEM-JASZ-NAGYKUN-SZOLNOK
84,REQUIRES_SETTLEMENT_LINE_ROUTING,ORSZEM-HEVES|ORSZEM-NOGRAD
