ksh_code,reason
03090,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03106,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03115,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03124,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03133,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03142,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03151,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03160,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03179,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03188,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03197,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03203,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03212,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03221,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03230,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03249,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03258,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03267,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03276,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03285,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03294,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03300,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03319,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03328,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03337,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03346,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03355,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03364,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03373,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03382,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03391,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03407,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03416,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03425,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03434,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03443,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03452,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03461,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03470,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03489,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03498,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03504,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03513,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03522,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03531,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03540,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03559,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03568,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03577,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03586,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03595,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03601,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03610,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03629,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03638,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03647,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03656,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03665,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03674,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03683,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03692,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03708,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03717,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03726,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03735,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03744,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03753,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03762,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03771,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03780,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03799,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03805,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03814,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03823,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03832,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03841,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03850,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03869,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03878,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03887,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03896,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03902,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03911,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03939,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03948,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03957,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03966,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03975,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03984,NO_VERIFIED_RAILWAY_LINE_REFERENCE
03993,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04002,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04011,NO_VERIFIED_RAILWAY_LINE_REFERENCE
04020,NO_VERIFIED_RAILWAY_LINE_REFERENCE
