ksh_code,settlement_name,county_name,area_code,basis
02769,Tápiószőlős,Pest,ORSZEM-PEST,KSH_COUNTY
02778,Ludányhalászi,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
02787,Nemesgulács,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
02796,Nak,Tolna,ORSZEM-TOLNA,KSH_COUNTY
02802,Enying,Fejér,ORSZEM-FEJER,KSH_COUNTY
02811,Miszla,Tolna,ORSZEM-TOLNA,KSH_COUNTY
02820,Abaújlak,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
02839,Nemeskocs,Vas,ORSZEM-VAS,KSH_COUNTY
02848,Felsőzsolca,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
02857,Geresdlak,Baranya,ORSZEM-BARANYA,KSH_COUNTY
02866,Oszlár,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
02875,Sáta,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
02884,Vasalja,Vas,ORSZEM-VAS,KSH_COUNTY
02893,Söréd,Fejér,ORSZEM-FEJER,KSH_COUNTY
02909,Magyarszentmiklós,Zala,ORSZEM-ZALA,KSH_COUNTY
02918,Balmazújváros,Hajdú-Bihar,ORSZEM-HAJDU-BIHAR,KSH_COUNTY
02927,Duka,Vas,ORSZEM-VAS,KSH_COUNTY
02936,Dudar,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
02945,Biri,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
02954,Felsőszentiván,Bács-Kiskun,ORSZEM-BACS-KISKUN,KSH_COUNTY
02963,Bükkszék,Heves,ORSZEM-HEVES,KSH_COUNTY
02972,Zalasárszeg,Zala,ORSZEM-ZALA,KSH_COUNTY
02981,Egerfarmos,Heves,ORSZEM-HEVES,KSH_COUNTY
02990,Bátorliget,Szabolcs-Szatmár-Bereg,ORSZEM-SZABOLCS-SZATMAR-BEREG,KSH_COUNTY
03009,Szombathely,Vas,ORSZEM-VAS,KSH_COUNTY
03018,Szebény,Baranya,ORSZEM-BARANYA,KSH_COUNTY
03036,Döröske,Vas,ORSZEM-VAS,KSH_COUNTY
03045,Hajdúböszörmény,Hajdú-Bihar,ORSZEM-HAJDU-BIHAR,KSH_COUNTY
03054,Lickóvadamos,Zala,ORSZEM-ZALA,KSH_COUNTY
03063,Zádorfalva,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03072,Balatoncsicsó,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
03081,Sajóhídvég,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03090,Borgáta,Vas,ORSZEM-VAS,KSH_COUNTY
03106,Kétsoprony,Békés,ORSZEM-BEKES,KSH_COUNTY
03115,Dunaújváros,Fejér,ORSZEM-FEJER,KSH_COUNTY
03124,Szentkozmadombja,Zala,ORSZEM-ZALA,KSH_COUNTY
03133,Taktaszada,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03142,Vönöck,Vas,ORSZEM-VAS,KSH_COUNTY
03151,Kistapolca,Baranya,ORSZEM-BARANYA,KSH_COUNTY
03160,Szuhafő,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03179,Budapest 02. ker.,főváros,ORSZEM-BUDAPEST,KSH_COUNTY
03188,Iborfia,Zala,ORSZEM-ZALA,KSH_COUNTY
03197,Rábahídvég,Vas,ORSZEM-VAS,KSH_COUNTY
03203,Nyim,Somogy,ORSZEM-SOMOGY,KSH_COUNTY
03212,Sajóivánka,Borsod-Abaúj-Zemplén,ORSZEM-BORSOD-ABAUJ-ZEMPLEN,KSH_COUNTY
03221,Magyarlak,Vas,ORSZEM-VAS,KSH_COUNTY
03230,Fajsz,Bács-Kiskun,ORSZEM-BACS-KISKUN,KSH_COUNTY
03249,Őrhalom,Nógrád,ORSZEM-NOGRAD,KSH_COUNTY
03258,Földes,Hajdú-Bihar,ORSZEM-HAJDU-BIHAR,KSH_COUNTY
03267,Badacsonytördemic,Veszprém,ORSZEM-VESZPREM,KSH_COUNTY
03276,Füzesabony,Heves,ORSZEM-HEVES,KSH_COUNTY
03285,Hirics,Baranya,ORSZEM-BARANYA,KSH_COUNTY
03294,Molnaszecsőd,Vas,ORSZEM-VAS,KSH_COUNTY
03300,Iklad,Pest,ORSZEM-PEST,KSH_COUNTY
03319,Ártánd,Hajdú-Bihar,ORSZEM-HAJDU-BIHAR,KSH_COUNTY
